"id_rel";"id_keyphrase";"id_class"
1133;1631;27
1134;1664;27
1135;1840;27
1136;1902;27
1137;1991;27
1138;2057;27
1139;2078;27
1140;2132;27
1141;2175;27
1142;2364;27
1143;2388;27
1144;2398;27
1145;2465;27
1146;2566;27
1147;2641;27
1148;2649;27
1149;2672;27
1150;2693;27
1151;2698;27
1152;2719;27
1153;2724;27
1154;2726;27
1155;2738;27
1156;2749;27
1157;2750;27
1158;2751;27
1159;2752;27
1160;2753;27
1161;2754;27
1162;2755;27
1163;2830;27
1164;3274;27
1165;3289;27
1166;3379;27
1167;3480;27
1168;3544;27
1169;3558;27
1170;3645;27
1171;3665;27
1172;3681;27
1173;3951;27
1174;4115;27
1175;4304;27
1176;4306;27
1177;4433;27
1178;4540;27
1179;4541;27
1180;4590;27
1181;4608;27
1182;4705;27
1183;4715;27
1184;4730;27
1185;4800;27
1186;4807;27
1187;4989;27
1188;5043;27
1189;5125;27
1190;5137;27
1191;5177;27
1192;5189;27
1193;5190;27
1194;5380;27
1195;5564;27
1196;5653;27
1197;5766;27
1198;5838;27
1199;5850;27
1200;5865;27
1201;6089;27
1202;6117;27
1203;6161;27
1204;6217;27
1205;6344;27
1206;6388;27
1207;6473;27
1208;6690;27
1209;6693;27
1210;6708;27
1211;6717;27
1212;154;28
1213;247;28
1214;315;28
1215;319;28
1216;348;28
1217;355;28
1218;716;28
1219;984;28
1220;987;28
1221;988;28
1222;989;28
1223;990;28
1224;992;28
1225;993;28
1226;994;28
1227;995;28
1228;1011;28
1229;1064;28
1230;1065;28
1231;1134;28
1232;1143;28
1233;1186;28
1234;1219;28
1235;1235;28
1236;1320;28
1237;1367;28
1238;1386;28
1239;1455;28
1240;1617;28
1241;1695;28
1242;2009;28
1243;2021;28
1244;2099;28
1245;2101;28
1246;2154;28
1247;2295;28
1248;2383;28
1249;2543;28
1250;2608;28
1251;2875;28
1252;2876;28
1253;2880;28
1254;2934;28
1255;3127;28
1256;3167;28
1257;3268;28
1258;3419;28
1259;3420;28
1260;3424;28
1261;3517;28
1262;3518;28
1263;3580;28
1264;3581;28
1265;3582;28
1266;3583;28
1267;3593;28
1268;3638;28
1269;3697;28
1270;3870;28
1271;3875;28
1272;4046;28
1273;4052;28
1274;4065;28
1275;4180;28
1276;4198;28
1277;4260;28
1278;4262;28
1279;4263;28
1280;4296;28
1281;4516;28
1282;4686;28
1283;4781;28
1284;4810;28
1285;4877;28
1286;4971;28
1287;4973;28
1288;5006;28
1289;5008;28
1290;5009;28
1291;5012;28
1292;5013;28
1293;5311;28
1294;5374;28
1295;5499;28
1296;5510;28
1297;5717;28
1298;5796;28
1299;5807;28
1300;5810;28
1301;5811;28
1302;5812;28
1303;5940;28
1304;5970;28
1305;6071;28
1306;6200;28
1307;6241;28
1308;6271;28
1309;6273;28
1310;6306;28
1311;6391;28
1312;6657;28
1313;1018;29
1314;1022;29
1315;1023;29
1316;1024;29
1317;1026;29
1318;1028;29
1319;2932;29
1320;6535;29
1321;1009;30
1322;1357;30
1323;2081;30
1324;2727;30
1325;4734;30
1326;5689;30
1327;6101;30
1328;6465;30
1329;6711;30
1330;71;31
1331;167;31
1332;455;31
1333;774;31
1334;775;31
1335;778;31
1336;910;31
1337;960;31
1338;1043;31
1339;1047;31
1340;1073;31
1341;1075;31
1342;1076;31
1343;1491;31
1344;1527;31
1345;1732;31
1346;1941;31
1347;1971;31
1348;2275;31
1349;2390;31
1350;2633;31
1351;2634;31
1352;2657;31
1353;2787;31
1354;3028;31
1355;3159;31
1356;3177;31
1357;3261;31
1358;3290;31
1359;3511;31
1360;3696;31
1361;4467;31
1362;4592;31
1363;4609;31
1364;4611;31
1365;4697;31
1366;4778;31
1367;4808;31
1368;4998;31
1369;5247;31
1370;5250;31
1371;5354;31
1372;5395;31
1373;5411;31
1374;5470;31
1375;5691;31
1376;5779;31
1377;6072;31
1378;6120;31
1379;6194;31
1380;6195;31
1381;2187;33
1382;4731;33
1383;110;34
1384;211;34
1385;323;34
1386;510;34
1387;767;34
1388;885;34
1389;1236;34
1390;1302;34
1391;2189;34
1392;2445;34
1393;3567;34
1394;3570;34
1395;4202;34
1396;4735;34
1397;4737;34
1398;5386;34
1399;5781;34
1400;5813;34
1401;5815;34
1402;5990;34
